"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Precip. (mm)","Precip. Source Flag","Precip. Comment","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment"
"Edmonton South Campus UA","01-May-2023","19.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","8.5","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","02-May-2023","19.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.6","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","03-May-2023","21.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","7.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","04-May-2023","22.8","AGGREGATED","91.7","0.0","AGGREGATED","using element [Precip. Weighing]","7.7","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","05-May-2023","19.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","8.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","06-May-2023","13.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.1","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","07-May-2023","11.3","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","3.2","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","08-May-2023","12.2","AGGREGATED","100.0","5.2","AGGREGATED","using element [Precip. Weighing]","2.7","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","09-May-2023","12.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","10-May-2023","13.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.4","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","11-May-2023","13.7","AGGREGATED","100.0","1.5","AGGREGATED","using element [Precip. Weighing]","3.5","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","12-May-2023","16.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","13-May-2023","20.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","7.2","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","14-May-2023","21.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","7.9","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","15-May-2023","22.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","7.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","16-May-2023","17.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","17-May-2023","14.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","18-May-2023","12.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.4","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","19-May-2023","18.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.6","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","20-May-2023","17.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.5","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","21-May-2023","20.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","22-May-2023","17.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","23-May-2023","15.5","AGGREGATED","100.0","9.0","AGGREGATED","using element [Precip. Weighing]","4.4","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","24-May-2023","13.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.7","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","25-May-2023","13.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.1","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","26-May-2023","16.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.3","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","27-May-2023","19.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.2","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","28-May-2023","19.1","AGGREGATED","100.0","0.1","AGGREGATED","using element [Precip. Weighing]","5.9","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","29-May-2023","18.3","AGGREGATED","100.0","2.0","AGGREGATED","using element [Precip. Weighing]","5.5","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","30-May-2023","17.7","AGGREGATED","100.0","2.9","AGGREGATED","using element [Precip. Weighing]","5.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","31-May-2023","15.2","AGGREGATED","100.0","12.7","AGGREGATED","using element [Precip. Weighing]","4.2","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","01-June-2023","13.7","AGGREGATED","100.0","1.4","AGGREGATED","using element [Precip. Weighing]","1.7","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","02-June-2023","16.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.3","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","03-June-2023","18.8","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","04-June-2023","22.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.4","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","05-June-2023","16.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.4","MODELLED","solar-ACT, 2m wind, Avg."
